Station,Latitude,Longitude,Temperature,Humidity,Temperature Min,Temperature Max,Wind Speed,Cloudines,Timezone,Latitude Division
Praia,-20.25,-43.81,68.0,88,68.0,68.0,1.9,77,-10800,Tropic_Capricorn
Margate,-43.03,147.26,57.76,58,55.0,60.01,10.29,75,39600,Southern_Temperate
Santa Rosa,-36.62,-64.29,57.61,48,57.61,57.61,7.4,0,-10800,Southern_Temperate
Camacha,33.08,-16.33,63.36,93,62.6,64.4,3.36,20,0,Northern Temperate
Kavieng,-2.57,150.8,84.61,73,84.61,84.61,9.48,100,36000,Tropic_Capricorn
Dzhebariki-Khaya,62.22,135.8,-41.24,96,-41.24,-41.24,1.21,100,32400,Northern Temperate
Chipinge,-20.19,32.62,89.02,28,89.02,89.02,4.92,40,7200,Tropic_Capricorn
Hithadhoo,-0.6,73.08,83.75,73,83.75,83.75,8.23,26,18000,Tropic_Capricorn
Severo-Kurilsk,50.68,156.12,13.51,83,13.51,13.51,14.7,95,39600,Northern Temperate
Padang,-0.92,100.36,70.72,98,70.72,70.72,1.48,100,25200,Tropic_Capricorn
Nishihara,35.74,139.53,45.21,87,42.01,48.99,18.34,75,32400,Northern Temperate
Mahebourg,-20.41,57.7,85.48,58,84.99,86.0,13.87,20,14400,Tropic_Capricorn
Marzuq,14.4,46.47,68.4,29,68.4,68.4,10.76,19,10800,Tropic_Cancer
Iqaluit,63.75,-68.52,-6.34,76,-7.01,-5.8,4.7,20,-18000,Northern Temperate
Port Blair,11.67,92.75,80.83,81,80.83,80.83,13.96,0,19800,Tropic_Cancer
Hobyo,5.35,48.53,83.8,55,83.8,83.8,19.71,65,10800,Tropic_Cancer
Sao Filipe,14.9,-24.5,72.07,67,72.07,72.07,17.36,29,-3600,Tropic_Cancer
Hobart,-42.88,147.33,57.76,58,55.0,60.01,10.29,75,39600,Southern_Temperate
Mataura,-46.19,168.86,54.0,77,54.0,54.0,18.01,35,46800,Southern_Temperate
Te Anau,-45.41,167.72,47.71,71,47.71,47.71,8.32,54,46800,Southern_Temperate
Milos,36.75,24.43,64.4,68,64.4,64.4,18.34,60,7200,Northern Temperate
Praia da Vitoria,38.73,-27.07,62.31,87,60.8,64.0,22.66,20,-3600,Northern Temperate
Smithers,54.78,-127.17,12.2,85,12.2,12.2,2.24,75,-28800,Northern Temperate
Caborca,30.58,-111.1,41.29,77,37.99,44.01,1.01,100,-25200,Northern Temperate
Antigonish,45.62,-61.99,28.42,74,25.0,30.0,6.93,90,-14400,Northern Temperate
Cidreira,-30.17,-50.22,67.53,74,67.53,67.53,20.76,2,-10800,Southern_Temperate
Qasigiannguit,68.82,-51.19,12.2,66,12.2,12.2,6.93,100,-10800,Arctic
Babstovo,48.12,132.48,-5.67,89,-5.67,-5.67,3.96,0,36000,Northern Temperate
Kamenka,48.03,28.7,45.0,92,45.0,45.0,1.99,100,7200,Northern Temperate
Khatanga,71.98,102.47,-18.62,88,-18.62,-18.62,7.25,0,25200,Arctic
Adre,13.47,22.2,78.84,16,78.84,78.84,13.22,0,3600,Tropic_Cancer
Mackenzie,55.34,-123.09,24.8,92,24.8,24.8,6.93,90,-28800,Northern Temperate
Carauari,-4.88,-66.9,73.6,99,73.6,73.6,0.94,100,-14400,Tropic_Capricorn
Muravlenko,63.79,74.5,-4.77,100,-4.77,-4.77,3.18,53,18000,Northern Temperate
Saint-Philippe,45.36,-73.48,16.86,85,12.0,26.01,5.82,90,-18000,Northern Temperate
Castro,-42.48,-73.76,53.6,93,53.6,53.6,8.05,63,-10800,Southern_Temperate
Thinadhoo,0.53,72.93,82.65,78,82.65,82.65,12.57,82,18000,Tropic_Cancer
Dalvik,57.79,14.13,39.72,100,39.2,39.99,3.36,100,3600,Northern Temperate
Seoul,37.57,126.98,42.42,65,39.2,46.4,4.7,0,32400,Northern Temperate
Nizwa,22.93,57.53,65.3,33,65.3,65.3,2.73,0,14400,Tropic_Cancer
Ishigaki,24.34,124.16,71.6,88,71.6,71.6,9.17,75,32400,Northern Temperate
Cherskiy,68.75,161.3,-27.8,82,-27.8,-27.8,10.09,0,39600,Arctic
Lamar,38.09,-102.62,19.4,73,19.4,19.4,9.17,1,-25200,Northern Temperate
Upernavik,72.79,-56.15,-1.16,72,-1.16,-1.16,8.19,0,-10800,Arctic
Bethel,60.79,-161.76,2.75,84,1.4,5.0,5.82,1,-32400,Northern Temperate
Jalu,29.03,21.55,64.62,26,64.62,64.62,12.55,21,7200,Northern Temperate
Moose Factory,51.26,-80.61,28.4,86,28.4,28.4,16.11,90,-18000,Northern Temperate
Bilma,18.69,12.92,70.11,11,70.11,70.11,8.37,0,3600,Tropic_Cancer
Pevek,69.7,170.27,-14.57,99,-14.57,-14.57,2.08,100,43200,Arctic
Ostrovnoy,68.05,39.51,25.23,93,25.23,25.23,7.65,99,10800,Arctic
Hilo,19.71,-155.08,63.46,83,48.0,71.6,10.29,90,-36000,Tropic_Cancer
Katherine,-14.47,132.26,96.8,32,96.8,96.8,6.93,40,34200,Tropic_Capricorn
Talnakh,69.49,88.39,1.4,77,1.4,1.4,22.37,75,25200,Arctic
Attert,49.75,5.79,45.16,93,44.01,46.99,10.29,75,3600,Northern Temperate
Goure,13.98,10.27,77.0,17,77.0,77.0,10.0,0,3600,Tropic_Cancer
Yatou,3.63,9.81,88.7,62,88.7,88.7,1.19,97,3600,Tropic_Cancer
Novobelokatay,55.7,58.96,2.5,95,2.5,2.5,4.7,100,18000,Northern Temperate
Swan River,52.11,-101.27,17.47,97,17.47,17.47,3.65,100,-21600,Northern Temperate
Bambous Virieux,-20.34,57.76,86.09,58,84.99,87.8,14.99,75,14400,Tropic_Capricorn
Pires do Rio,-17.3,-48.28,66.81,94,66.81,66.81,0.89,66,-10800,Tropic_Capricorn
Nikolskoye,59.7,30.79,38.37,93,37.99,39.2,6.71,90,10800,Northern Temperate
Port Elizabeth,39.31,-74.98,21.87,85,17.6,26.6,2.51,1,-18000,Northern Temperate
Victoria,5.28,115.24,86.0,70,86.0,86.0,6.93,75,28800,Tropic_Cancer
Ilulissat,69.22,-51.1,12.2,66,12.2,12.2,6.93,100,-10800,Arctic
Vuktyl,63.86,57.31,7.95,91,7.95,7.95,13.2,100,10800,Northern Temperate
Olinda,-37.84,145.39,62.26,59,57.99,66.99,16.11,0,39600,Southern_Temperate
Bathsheba,13.22,-59.52,80.6,69,80.6,80.6,21.92,40,-14400,Tropic_Cancer
Tikhvin,59.64,33.53,35.01,94,35.01,35.01,4.99,100,10800,Northern Temperate
Itaituba,-4.26,-55.99,71.96,96,71.96,71.96,1.39,100,-10800,Tropic_Capricorn
Ludvika,60.15,15.18,34.16,100,33.8,35.01,6.93,100,3600,Northern Temperate
Anadyr,64.73,177.51,-6.45,76,-7.6,-5.01,11.18,100,43200,Northern Temperate
Cape Town,-33.93,18.42,73.26,37,71.01,77.0,5.82,0,7200,Southern_Temperate
Cap Malheureux,-19.98,57.61,86.32,58,84.99,87.8,14.99,75,14400,Tropic_Capricorn
Bandarbeyla,9.49,50.81,78.13,68,78.13,78.13,25.32,61,10800,Tropic_Cancer
Bela,26.23,66.31,76.86,11,76.86,76.86,1.23,0,18000,Northern Temperate
Zelenoborskiy,66.84,32.36,21.76,92,21.76,21.76,5.53,98,10800,Arctic
Gubkinskiy,64.43,76.5,-6.11,100,-6.11,-6.11,2.95,81,18000,Northern Temperate
Dingle,11.0,122.67,77.74,87,77.74,77.74,8.37,62,28800,Tropic_Cancer
Wanaka,-44.7,169.14,41.63,96,41.63,41.63,6.46,1,46800,Southern_Temperate
Sibolga,1.74,98.78,76.75,94,76.75,76.75,2.24,100,25200,Tropic_Cancer
Guerrero Negro,27.97,-114.04,59.83,33,59.83,59.83,3.74,100,-25200,Northern Temperate
Guanica,17.97,-66.91,71.44,92,64.99,75.0,5.7,0,-14400,Tropic_Cancer
Dakar,14.69,-17.45,71.53,18,69.8,73.4,11.41,0,0,Tropic_Cancer
Chapada dos Guimaraes,-15.46,-55.75,77.0,88,77.0,77.0,2.24,100,-14400,Tropic_Capricorn
Leningradskiy,69.38,178.42,-0.78,94,-0.78,-0.78,14.83,100,43200,Arctic
Provideniya,64.42,-173.23,3.6,68,3.6,3.6,3.02,0,43200,Northern Temperate
Alice Springs,-23.7,133.88,105.8,9,105.8,105.8,16.11,0,34200,Southern_Temperate
Vanimo,-2.67,141.3,83.52,79,83.52,83.52,8.66,80,36000,Tropic_Capricorn
Kaitangata,-46.28,169.85,55.0,69,55.0,55.0,4.0,31,46800,Southern_Temperate
Santa Fe,-31.62,-60.7,61.0,76,61.0,61.0,1.99,0,-10800,Southern_Temperate
Salvador,-12.98,-38.48,78.8,83,78.8,78.8,3.36,40,-10800,Tropic_Capricorn
East London,-33.02,27.91,71.6,68,71.6,71.6,9.17,20,7200,Southern_Temperate
Dikson,73.51,80.55,1.65,94,1.65,1.65,9.8,100,25200,Arctic
Patacamaya,-17.23,-67.92,43.74,90,43.74,43.74,3.51,100,-14400,Tropic_Capricorn
Yulara,-25.24,130.99,109.4,7,109.4,109.4,12.75,37,34200,Southern_Temperate
Valparaiso,41.47,-87.06,31.53,86,28.99,34.0,5.82,1,-21600,Northern Temperate
Tari,12.41,4.49,78.85,13,78.85,78.85,16.84,0,3600,Tropic_Cancer
Qaanaaq,77.48,-69.36,-9.76,75,-9.76,-9.76,2.35,23,-14400,Arctic
Sinegorye,62.09,150.53,-33.05,97,-33.05,-33.05,0.87,57,39600,Northern Temperate
Hofn,64.25,-15.21,40.87,70,40.87,40.87,38.43,100,0,Northern Temperate
Kalangala,-0.32,32.29,78.8,65,78.8,78.8,6.93,20,10800,Tropic_Capricorn
Westport,41.14,-73.36,24.03,79,15.8,33.01,3.36,1,-18000,Northern Temperate
Agdam,39.99,46.93,47.48,69,47.48,47.48,3.78,100,14400,Northern Temperate
Birjand,32.86,59.22,55.4,20,55.4,55.4,0.83,0,12600,Northern Temperate
Georgetown,6.8,-58.16,73.4,100,73.4,73.4,4.7,20,-14400,Tropic_Cancer
Geraldton,49.72,-86.95,24.8,92,24.8,24.8,6.93,90,-18000,Northern Temperate
Grindavik,63.84,-22.43,33.8,74,33.8,33.8,26.4,75,0,Northern Temperate
Semporna,4.48,118.61,80.6,94,80.6,80.6,5.91,75,28800,Tropic_Cancer
Simao,22.76,100.79,68.7,42,68.7,68.7,6.33,0,28800,Tropic_Cancer
Esperance,-33.86,121.89,69.8,83,69.8,69.8,9.17,75,28800,Southern_Temperate
Daru,-9.07,143.21,79.72,79,79.72,79.72,5.64,0,36000,Tropic_Capricorn
Ahipara,-35.17,173.16,57.99,91,57.99,57.99,1.01,100,46800,Southern_Temperate
Abu Dhabi,24.47,54.37,76.14,33,75.2,77.0,8.05,0,14400,Northern Temperate
Narsaq,60.91,-46.05,35.6,31,35.6,35.6,17.22,40,-10800,Northern Temperate
Karratha,-20.74,116.85,84.06,79,84.06,84.06,18.9,84,28800,Tropic_Capricorn
Chapleau,47.85,-83.4,31.75,92,31.75,31.75,10.16,74,-18000,Northern Temperate
Tabas,33.6,56.92,55.4,32,55.4,55.4,2.24,0,12600,Northern Temperate
Araouane,18.9,-3.53,68.18,17,68.18,68.18,14.76,0,0,Tropic_Cancer
Kaniama,-7.57,24.18,74.52,91,74.52,74.52,4.52,45,7200,Tropic_Capricorn
Tura,64.27,100.22,-18.27,97,-18.27,-18.27,2.26,95,25200,Northern Temperate
Gympie,-26.2,152.66,73.0,79,71.01,75.0,5.55,0,36000,Southern_Temperate
Luderitz,-26.65,15.16,80.6,39,80.6,80.6,17.22,0,7200,Southern_Temperate
Fort Nelson,58.81,-122.69,-11.2,83,-11.2,-11.2,3.36,90,-25200,Northern Temperate
Harper,30.3,-99.24,30.72,85,24.8,39.99,1.28,1,-21600,Northern Temperate
Lebu,8.96,38.73,68.0,45,68.0,68.0,10.29,40,10800,Tropic_Cancer
Avera,33.19,-82.53,46.15,45,44.01,48.2,9.17,90,-18000,Northern Temperate
Pangnirtung,66.15,-65.72,-8.34,74,-8.34,-8.34,1.23,0,-18000,Arctic
Banda Aceh,5.56,95.32,83.93,57,83.93,83.93,7.92,100,25200,Tropic_Cancer
Bontang,0.12,117.47,81.99,77,81.99,81.99,3.69,95,28800,Tropic_Cancer
Ninghai,29.29,121.42,52.77,87,48.99,55.99,8.95,75,28800,Northern Temperate
Nadym,65.53,72.51,-7.02,97,-7.02,-7.02,7.31,62,18000,Arctic
Oranjemund,-28.55,16.43,77.27,38,77.27,77.27,12.66,0,7200,Southern_Temperate
Nargana,9.44,-78.59,81.73,79,81.73,81.73,15.88,88,-18000,Tropic_Cancer
Kruisfontein,-34.0,24.73,77.11,37,77.11,77.11,12.24,0,7200,Southern_Temperate
Road Town,18.42,-64.62,77.18,78,75.99,78.01,10.29,1,-14400,Tropic_Cancer
Ponta Delgada,37.73,-25.67,62.6,93,62.6,62.6,13.87,75,-3600,Northern Temperate
Lagoa,37.14,-8.45,55.9,100,53.6,57.99,5.82,75,0,Northern Temperate
Mpongwe,-13.51,28.16,77.38,68,77.38,77.38,7.99,0,7200,Tropic_Capricorn
Sorong,-0.86,131.25,80.1,83,80.1,80.1,2.57,71,32400,Tropic_Capricorn
Cayenne,4.94,-52.33,77.0,94,77.0,77.0,8.05,50,-10800,Tropic_Cancer
Russell,38.9,-98.86,30.36,68,28.99,32.0,12.75,1,-21600,Northern Temperate
Nome,30.04,-94.42,44.76,87,41.0,48.2,6.93,40,-21600,Northern Temperate
Iskateley,67.68,53.15,17.19,94,17.19,17.19,15.82,100,10800,Arctic
Mar del Plata,-46.43,-67.52,61.83,48,61.83,61.83,27.65,0,-10800,Southern_Temperate
Laguna,16.17,-88.94,71.6,88,71.6,71.6,4.7,90,-21600,Tropic_Cancer
Thompson,55.74,-97.86,8.6,84,8.6,8.6,5.82,90,-21600,Northern Temperate
Mareeba,-16.99,145.42,80.51,65,78.01,82.4,5.82,40,36000,Tropic_Capricorn
Garissa,-0.46,39.64,83.07,64,83.07,83.07,7.45,99,10800,Tropic_Capricorn
Chicama,-7.84,-79.15,68.0,88,68.0,68.0,4.7,75,-18000,Tropic_Capricorn
Alofi,-19.06,-169.92,77.0,94,77.0,77.0,4.7,17,-39600,Tropic_Capricorn
Mount Isa,-20.73,139.49,102.2,10,102.2,102.2,12.75,3,36000,Tropic_Capricorn
Takoradi,4.89,-1.75,84.4,70,84.4,84.4,2.62,10,0,Tropic_Cancer
Hami,42.84,93.51,28.09,48,28.09,28.09,5.44,2,28800,Northern Temperate
Lompoc,34.64,-120.46,54.45,54,43.0,59.0,10.29,1,-28800,Northern Temperate
Dom Pedrito,-30.98,-54.67,52.11,93,52.11,52.11,6.31,0,-10800,Southern_Temperate
Paris,48.86,2.35,48.07,87,46.99,48.99,17.22,90,3600,Northern Temperate
Sangar,63.92,127.47,-33.5,96,-33.5,-33.5,3.67,100,32400,Northern Temperate
Labuhan,-2.54,115.51,80.08,92,80.08,80.08,1.16,100,28800,Tropic_Capricorn
Sitka,37.17,-99.65,28.0,66,28.0,28.0,6.31,0,-21600,Northern Temperate
Kahului,20.89,-156.47,68.56,78,64.99,71.6,18.34,75,-36000,Tropic_Cancer
Machilipatnam,16.18,81.14,86.0,51,86.0,86.0,6.93,40,19800,Tropic_Cancer
Yerbogachen,61.28,108.01,-25.35,98,-25.35,-25.35,3.4,100,28800,Northern Temperate
Vestmannaeyjar,63.44,-20.27,37.35,65,37.35,37.35,30.76,100,0,Northern Temperate
Flinders,-34.58,150.85,63.66,67,62.01,64.99,8.05,75,39600,Southern_Temperate
Rio Grande,-32.03,-52.1,60.01,84,60.01,60.01,4.0,10,-10800,Southern_Temperate
Gornopravdinsk,60.06,69.92,3.15,96,3.15,3.15,4.59,15,18000,Northern Temperate
Puerto Escondido,15.86,-97.07,68.16,67,68.16,68.16,4.99,36,-21600,Tropic_Cancer
Nalut,31.86,10.98,62.49,32,62.49,62.49,19.44,15,7200,Northern Temperate
Marsh Harbour,26.54,-77.06,72.64,74,72.64,72.64,16.55,100,-18000,Northern Temperate
Riverton,43.02,-108.38,10.74,85,3.0,19.4,3.36,1,-25200,Northern Temperate
Urozhaynoye,47.7,142.03,14.45,61,14.45,14.45,10.6,14,39600,Northern Temperate
Vostok,46.45,135.83,-9.38,95,-9.38,-9.38,4.32,0,36000,Northern Temperate
Cabo San Lucas,22.89,-109.91,59.43,77,51.01,69.01,1.68,0,-25200,Tropic_Cancer
Palmerston North,-40.35,175.62,59.04,81,57.99,60.01,0.74,100,46800,Southern_Temperate
Bouafle,48.96,1.9,48.07,81,46.99,48.99,18.34,100,3600,Northern Temperate
Spirit River,55.78,-118.84,-1.68,84,-2.2,-0.99,2.24,5,-25200,Northern Temperate
Ojinaga,29.56,-104.41,31.57,47,28.99,35.6,3.36,1,-25200,Northern Temperate
Vallenar,-28.58,-70.76,54.72,87,54.72,54.72,3.04,0,-10800,Southern_Temperate
La Rioja,-29.41,-66.86,56.68,57,56.68,56.68,2.64,29,-10800,Southern_Temperate
Faya,18.39,42.45,66.49,30,64.4,69.8,4.7,0,10800,Tropic_Cancer
Arraial do Cabo,-22.97,-42.02,75.87,83,75.2,77.0,11.41,95,-10800,Tropic_Capricorn
Springfield,42.1,-72.59,19.4,85,10.99,27.0,5.32,1,-18000,Northern Temperate
Uva,56.98,52.19,19.99,88,19.99,19.99,4.0,93,14400,Northern Temperate
Ordynskoye,54.37,81.9,25.21,93,25.21,25.21,10.07,100,25200,Northern Temperate
Atar,20.52,-13.05,67.1,17,67.1,67.1,16.75,54,0,Tropic_Cancer
Ixtapa,20.71,-105.21,70.18,60,69.01,71.6,9.17,5,-21600,Tropic_Cancer
Atbasar,51.81,68.36,9.09,91,9.09,9.09,13.89,99,21600,Northern Temperate
Kungurtug,50.6,97.53,1.83,89,1.83,1.83,1.07,100,25200,Northern Temperate
Myaundzha,63.05,147.18,-24.83,97,-24.83,-24.83,2.98,100,39600,Northern Temperate
Ayamonte,37.21,-7.4,54.27,100,53.01,55.99,5.82,75,3600,Northern Temperate
Rafraf,37.19,10.18,62.08,55,59.0,66.2,26.4,20,3600,Northern Temperate
Uppsala,59.86,17.64,39.83,100,37.4,42.01,5.82,100,3600,Northern Temperate
Hata,26.74,83.74,72.32,45,72.32,72.32,8.28,7,19800,Northern Temperate
Storforshei,66.4,14.52,24.44,89,24.44,24.44,5.26,92,3600,Arctic
Morondava,-20.3,44.28,100.94,30,100.94,100.94,3.36,100,10800,Tropic_Capricorn
Hambantota,6.12,81.12,82.22,80,82.22,82.22,16.24,100,19800,Tropic_Cancer
Goderich,43.74,-81.71,32.11,83,26.01,36.0,9.57,53,-18000,Northern Temperate
Palestine,31.76,-95.63,41.79,87,39.0,45.0,3.36,90,-21600,Northern Temperate
Lorengau,-2.02,147.27,84.88,68,84.88,84.88,4.32,100,36000,Tropic_Capricorn
Egvekinot,66.32,-179.17,-9.92,61,-9.92,-9.92,7.63,0,43200,Arctic
Anaconda,46.13,-112.94,34.59,47,34.0,35.6,9.78,1,-25200,Northern Temperate
Springbok,-29.67,17.88,84.2,16,84.2,84.2,5.82,0,7200,Southern_Temperate
Krasnyy Chikoy,50.36,108.75,1.13,97,1.13,1.13,0.58,100,32400,Northern Temperate
Milkovo,41.53,24.68,53.42,93,42.8,60.01,7.67,40,7200,Northern Temperate
Minsk,53.9,27.56,41.0,100,41.0,41.0,6.71,90,10800,Northern Temperate
Ancud,-41.87,-73.83,53.6,93,53.6,53.6,8.05,89,-10800,Southern_Temperate
Macomb,40.46,-90.67,34.34,80,32.0,37.4,7.02,1,-21600,Northern Temperate
Maumere,-8.63,122.22,83.05,70,83.05,83.05,5.37,25,28800,Tropic_Capricorn
Santiago del Estero,-27.8,-64.26,59.05,63,59.05,59.05,2.66,15,-10800,Southern_Temperate
College,64.86,-147.8,-28.26,92,-36.4,-22.0,1.5,20,-32400,Northern Temperate
Baghdad,33.3,44.38,66.2,42,66.2,66.2,3.36,0,10800,Northern Temperate
Alta Floresta,-9.87,-56.08,69.85,98,69.85,69.85,3.76,56,-14400,Tropic_Capricorn
Gafanha da Nazare,40.64,-8.71,58.14,93,55.0,61.0,12.75,90,0,Northern Temperate
Auch,43.65,0.59,50.7,76,48.0,53.01,13.87,75,3600,Northern Temperate
Sonqor,34.78,47.6,50.0,46,50.0,50.0,4.23,33,12600,Northern Temperate
Blythe,33.61,-114.59,47.52,43,46.0,50.0,3.36,1,-28800,Northern Temperate
Bud,62.91,6.91,33.64,74,27.0,37.4,5.82,91,3600,Northern Temperate
Port Lincoln,-34.72,135.86,68.41,48,68.41,68.41,4.32,100,37800,Southern_Temperate
Sorland,67.67,12.69,40.69,73,40.69,40.69,10.04,100,3600,Arctic
Divnogorsk,55.96,92.38,1.4,77,1.4,1.4,4.47,100,25200,Northern Temperate
Pavlodar,52.28,76.96,17.6,85,17.6,17.6,15.66,75,21600,Northern Temperate
Aksarka,66.56,67.8,-9.99,99,-9.99,-9.99,9.55,69,18000,Arctic
Cabedelo,-6.97,-34.84,75.2,88,75.2,75.2,3.36,20,-10800,Tropic_Capricorn
Ejido,8.55,-71.24,47.5,97,47.5,47.5,4.54,99,-14400,Tropic_Cancer
Roald,62.58,6.12,34.56,80,27.0,37.99,6.93,0,3600,Northern Temperate
San Juan,-31.54,-68.53,74.61,30,74.61,74.61,10.45,45,-10800,Southern_Temperate
Torbay,47.66,-52.73,25.41,85,23.0,27.0,9.17,90,-12600,Northern Temperate
Rawson,-43.3,-65.11,65.28,52,65.28,65.28,12.26,0,-10800,Southern_Temperate
Chapais,49.78,-74.86,12.2,92,12.2,12.2,12.75,90,-18000,Northern Temperate
Marsa Matruh,31.35,27.25,60.8,72,60.8,60.8,11.41,0,7200,Northern Temperate
Chuy,-33.69,-53.46,60.53,77,60.53,60.53,16.73,67,-10800,Southern_Temperate
Arman,59.7,150.17,3.45,98,3.45,3.45,12.01,100,39600,Northern Temperate
Kikwit,-5.04,18.82,76.01,75,76.01,76.01,3.76,100,3600,Tropic_Capricorn
Namibe,-15.19,12.15,73.42,76,73.42,73.42,2.91,0,3600,Tropic_Capricorn
